time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2018/7/1 16:13,0.98708504,0,0,0
2018/7/13 11:15,0,0.242586672,0.61039245,0.142965689
2018/7/14 16:43,0.998375,0,0,0
2018/7/16 14:16,0,0.991250843,0,0
2018/7/17 9:11,0,0.987630576,0,0
2018/7/20 12:57,0,0.996066153,0,0
2018/7/23 8:08,0,0.3672252,0,0.631243467
2018/7/25 14:48,0,0,0.9954297,0
2018/7/25 17:00,0,0.998548687,0,0
2018/8/6 12:05,0,0.994640529,0,0
2018/8/7 14:14,0,0.990727186,0,0
2018/8/14 11:47,0,0.998073518,0,0
2018/8/15 20:58,0.99790806,0,0,0
2018/8/16 1:16,0,0.994384289,0,0
2018/8/20 15:23,0,0.996009171,0,0
2018/8/22 21:58,0.4539186,0.538772941,0,0
2018/8/28 20:53,0,0,0.9942948,0
2018/8/30 12:16,0,0.429522544,0.5661675,0
2018/9/5 2:38,0,0.260439843,0.734556,0
2018/9/6 21:08,0,0.106304988,0.4020793,0.486099929
2018/9/11 6:18,0,0,0,0.995051026
2018/9/13 10:09,0,0.258293621,0.73643327,0
2018/9/18 16:11,0.99408275,0,0,0
2018/9/18 16:19,0,0.996349812,0,0
2018/10/1 8:45,0,0.991917193,0,0
2018/10/1 16:09,0,0.997920334,0,0
2018/10/11 7:59,0,0.798843563,0,0.191546395
2018/10/16 5:06,0,0,0,0.9931494
2018/10/19 11:31,0,0.698396385,0,0.29257226
2018/10/25 12:32,0,0,0,0.992597938
2018/10/29 11:34,0,0.471360624,0,0.520187199
2018/11/9 9:08,0,0,0,0.995145321
2018/11/9 13:27,0,0.884094298,0,0.098597221
2018/11/9 18:36,0,0.428983241,0,0.559644938
2018/11/19 21:27,0,0,0,0.99381268
2018/11/22 16:42,0,0.754451692,0,0.234597802
2018/11/23 5:45,0,0,0.9953458,0
2018/11/24 14:25,0,0,0,0.988078713
2018/11/25 15:54,0,0,0.9956649,0
2018/12/3 16:53,0,0.991876066,0,0
2018/12/10 8:54,0,0.996938616,0,0
2018/12/21 6:50,0,0.997167349,0,0
2019/1/26 20:56,0,0.997048855,0,0
2019/1/30 20:46,0,0.995255113,0,0
2019/2/3 23:29,0,0.987160146,0,0
2019/2/17 17:18,0,0.994767725,0,0
2019/2/21 16:14,0,0.758050978,0,0.239394054
2019/2/28 7:37,0.26093307,0.735140085,0,0
2019/3/2 16:47,0,0.996420503,0,0
2019/3/5 18:20,0,0.994677424,0,0
2019/3/10 11:47,0,0.994652033,0,0
2019/3/13 8:36,0.09540684,0.623315394,0,0.276747406
2019/3/15 16:34,0,0.556281209,0.4396798,0
2019/3/28 9:03,0,0.995068908,0,0
2019/4/9 9:04,0,0.768450022,0,0.225850508
2019/4/10 21:54,0,0,0,0.993812561
2019/4/11 12:44,0.30692184,0.686014056,0,0
2019/4/15 22:35,0,0.991917491,0,0
2019/4/22 12:45,0.1516153,0.844706953,0,0
2019/4/25 11:42,0,0,0.9919252,0
2019/5/2 13:14,0,0,0,0.990639329
2019/5/12 9:45,0,0.993489087,0,0
2019/5/13 17:02,0,0,0.9930371,0
2019/5/16 16:07,0,0.539907157,0,0.456691593
2019/5/21 4:06,0,0.99430567,0,0
2019/5/21 12:57,0,0.988431692,0,0
2019/5/23 14:20,0,0,0.9949757,0
2019/5/30 16:40,0,0,0,0.994597793
2019/6/25 7:31,0,0,0,0.99484998
2019/7/11 16:35,0,0.992964804,0,0
2019/7/17 8:49,0,0.34265995,0,0.650009394
2019/7/23 13:28,0,0,0.62150353,0.375893474
2019/7/24 18:52,0,0.997968972,0,0
2019/8/7 20:54,0.2351323,0.761702836,0,0
2019/8/16 11:50,0,0,0.9754499,0
2019/8/19 13:14,0,0.98565954,0,0
2019/9/2 14:17,0,0.05784541,0.37177047,0.56774455
2019/9/10 11:52,0,0,0,0.987410843
2019/9/13 6:20,0,0,0.9953458,0
2019/9/17 16:25,0,0.148017809,0,0.849515498
2019/9/25 8:13,0,0.997407705,0,0
2019/10/2 22:42,0,0.99407661,0,0
2019/10/7 9:11,0,0.517383039,0.47904706,0
2019/10/7 10:42,0,0.996595562,0,0
2019/10/16 13:34,0,0,0,0.991135
2019/10/22 10:16,0,0,0,0.98955065
2019/10/22 13:17,0,0.847684428,0,0.1507819
2019/10/25 18:48,0,0.482203081,0.51459914,0
2019/10/27 12:13,0,0.673683703,0.31801784,0
2019/10/28 19:56,0,0.994971871,0,0
2019/10/29 12:12,0,0.985659003,0,0
2019/10/30 17:37,0,0,0,0.995205879
2019/11/1 9:45,0,0,0,0.996227562
2019/11/4 13:11,0,0.432843596,0,0.561292768
2019/11/6 8:08,0,0.987679243,0,0
2019/11/8 11:35,0,0.061525177,0.17594858,0.7570507
2019/11/15 9:10,0,0.982963681,0,0
2019/11/15 9:25,0,0.383568928,0,0.61024642
2019/11/19 11:40,0,0.38833493,0.60600805,0
2019/11/28 11:46,0.26342273,0.732082665,0,0
2019/11/28 15:49,0.44926697,0.138310343,0,0.405985802
2019/11/29 10:21,0,0,0.99772936,0
2019/12/4 13:20,0,0.991196156,0,0
2019/12/10 5:34,0.5444123,0.450138003,0,0
2019/12/11 9:13,0,0.695848167,0,0.299971193
2019/12/16 12:58,0,0,0,0.99063915
2019/12/27 11:18,0,0.710820615,0.28225607,0
2019/12/31 23:32,0,0,0.99811816,0
2020/1/2 23:57,0,0.996518672,0,0
2020/1/6 15:12,0,0,0,0.989101887
2020/1/7 5:10,0,0.322052896,0.67524356,0
2020/1/15 18:08,0,0,0,0.990699649
2020/1/23 11:13,0,0,0,0.99641639
2020/1/24 3:49,0,0.994076908,0,0
2020/1/26 0:22,0,0.986889243,0,0
2020/2/4 19:35,0,0.996903539,0,0
2020/2/7 14:24,0,0.275727391,0,0.717792094
2020/2/11 14:01,0,0.992168128,0,0
2020/2/13 21:46,0,0.987072408,0,0
2020/2/18 23:28,0,0,0.9907419,0
2020/2/20 19:07,0,0,0,0.996672571
2020/2/24 4:07,0.928173,0,0.06859377,0
2020/2/26 12:02,0,0.608681396,0,0.387575775
2020/2/29 13:04,0.9925736,0,0,0
2020/3/2 15:22,0,0.250050873,0,0.747084677
2020/3/3 23:17,0,0.996069372,0,0
2020/3/6 9:17,0,0.997081876,0,0
2020/3/10 10:46,0,0.977605045,0,0
2020/3/12 23:04,0,0.992178015,0,0
2020/3/17 1:33,0,0.996663272,0,0
2020/3/18 23:31,0,0,0,0.992374778
2020/3/24 10:16,0,0,0,0.987410724
2020/3/30 22:13,0.5493763,0,0.4422256,0
2020/4/3 11:06,0,0,0.9938805,0
2020/4/8 0:26,0.38369173,0,0.60423684,0
2020/4/8 1:29,0,0.994157493,0,0
2020/4/8 2:37,0,0.690024495,0,0.299981922
2020/4/8 18:55,0,0.308690876,0.6874813,0
2020/4/10 20:59,0,0.996420383,0,0
2020/4/13 15:30,0,0.571281731,0,0.418414831
2020/4/24 9:48,0.9968906,0,0,0
2020/4/29 0:25,0,0.993488967,0,0
2020/4/29 20:40,0,0.370164961,0,0.62179625
2020/4/30 10:43,0,0,0,0.98883724
2020/5/3 15:00,0.2228103,0.627110749,0,0.14513433
2020/5/6 19:54,0,0.991060853,0,0
2020/5/8 13:00,0,0.988231838,0,0
2020/5/13 8:32,0,0.995650291,0,0
2020/5/15 10:55,0.987085,0,0,0
2020/5/19 10:19,0,0.613774717,0,0.382672042
2020/5/19 21:19,0,0.609479189,0.38110745,0
2020/5/23 12:17,0,0,0,0.994480848
2020/5/27 11:42,0,0,0.9953455,0
2020/5/28 2:46,0.37032005,0,0.62624526,0
2020/5/28 20:50,0,0,0.9949755,0
2020/5/29 18:10,0.99188364,0,0,0
2020/5/29 21:16,0,0.060642794,0,0.929811358
2020/5/31 23:30,0,0.996344984,0,0
2020/6/5 17:39,0,0.993722498,0,0
2020/6/10 2:08,0.7196535,0,0.27408966,0
2020/6/10 7:39,0,0.993874848,0,0
2020/6/10 9:55,0,0,0,0.972509444
2020/6/11 18:57,0,0.993394792,0,0
2020/6/12 13:33,0,0.994604528,0,0
2020/6/15 18:38,0,0.995163202,0,0
2020/6/17 18:33,0,0.640098631,0,0.354496598
2020/6/19 16:08,0,0,0,0.9965427
2020/6/23 23:16,0,0,0,0.99630535
2020/6/24 6:41,0,0.997396499,0,0
2020/6/24 10:33,0,0.995635331,0,0
2020/6/25 7:37,0.33896667,0,0,0.653130114
2020/6/30 23:46,0,0,0.9924099,0
2020/7/2 15:05,0,0.83574754,0,0.15959923
2020/7/5 10:34,0.9918838,0,0,0
2020/7/7 19:52,0.17510365,0.815482438,0,0
2020/7/8 5:08,0,0,0,0.992891
2020/7/9 16:07,0,0.997800648,0,0
2020/7/30 2:39,0,0,0.9869022,0
2020/8/3 7:28,0,0,0.9955111,0
2020/8/8 10:06,0,0,0.55285317,0.441830754
2020/8/9 13:09,0,0.990790486,0,0
2020/8/13 23:39,0,0.991616547,0,0
2020/8/17 15:43,0,0.990191162,0,0
2020/8/26 13:44,0,0.99560082,0,0
2020/8/26 17:58,0,0.710741341,0.28715613,0
2020/8/29 18:39,0,0.993646383,0,0
2020/9/7 14:06,0.6008805,0,0,0.393743783
2020/9/8 12:25,0,0,0,0.997565806
2020/9/9 8:34,0,0,0,0.9926486
2020/9/9 15:28,0,0.992893934,0,0
2020/9/12 10:30,0.99073625,0,0,0
2020/9/14 16:40,0,0,0,0.989101708
2020/9/15 21:19,0.318265,0,0,0.67458868
2020/9/16 13:29,0,0,0,0.993539274
2020/9/23 18:15,0.99445796,0,0,0
2020/9/28 19:35,0,0.924154103,0.071947835,0
2020/9/29 19:33,0,0.784346461,0.2059371,0
2020/10/12 11:33,0,0.993203402,0,0
2020/10/14 0:52,0,0.078287795,0.91535544,0
2020/10/16 20:21,0,0.312152386,0,0.673607826
2020/10/20 21:42,0,0,0,0.99389744
2020/10/22 6:44,0,0.98565942,0,0
2020/10/22 12:58,0,0.998647228,0,0
2020/10/25 20:26,0,0.997048914,0,0
2020/10/26 14:55,0.16248581,0.260320544,0.56940556,0
2020/10/28 18:50,0,0.99424696,0,0
2020/10/30 15:25,0,0.988737404,0,0
2020/11/3 10:32,0.108898684,0,0.8862255,0
2020/11/3 21:39,0,0,0.99303716,0
2020/11/4 15:49,0,0,0.5000625,0.491468906
2020/11/6 19:57,0,0.996444881,0,0
2020/11/10 15:50,0,0,0.99241,0
2020/11/14 14:36,0,0.369581252,0,0.621568382
2020/11/15 16:43,0,0.993562877,0,0
2020/11/20 12:37,0,0,0.99165815,0
2020/11/20 21:45,0,0.94069618,0,0.053846449
2020/11/24 18:21,0,0.630395949,0.36740428,0
2020/11/27 19:12,0,0.991956741,0,0
2020/12/4 21:55,0,0.410141826,0.58118767,0
2020/12/5 23:22,0,0.289178282,0,0.704199493
2020/12/7 9:47,0,0,0,0.9970613
2020/12/8 16:04,0,0.98873651,0,0
2020/12/11 9:40,0.6728597,0,0.32347792,0
2020/12/16 8:58,0,0.99136585,0,0
2020/12/17 21:19,0,0,0.9935689,0
2020/12/19 10:48,0,0.574163556,0.25844878,0.16490133
2020/12/21 16:14,0,0.865995169,0,0.12704581
2020/12/23 10:49,0,0.997167528,0,0
2020/12/24 12:58,0.25178358,0,0,0.7419527
2020/12/29 4:19,0,0,0,0.99156636
2020/12/30 18:05,0,0.987762809,0,0
2021/1/5 14:16,0.88452685,0.112692706,0,0
2021/1/5 20:30,0,0.996389508,0,0
2021/1/6 20:36,0,0,0.9953454,0
2021/1/7 21:02,0.57513773,0.421233773,0,0
2021/1/8 13:28,0,0.989588916,0,0
2021/1/14 10:56,0,0.549145699,0,0.442869931
2021/1/16 15:49,0,0.865672231,0,0.130798116
2021/1/17 22:41,0.62828493,0.365582824,0,0
2021/1/18 5:41,0,0,0,0.996583045
2021/1/19 11:04,0,0,0.42497066,0.565833569
2021/1/20 20:51,0,0.995767951,0,0
2021/1/21 11:23,0,0.991043925,0,0
2021/1/21 14:06,0,0.591740787,0.13037553,0.273361832
2021/1/21 21:58,0,0.897064686,0,0.091030158
2021/1/29 8:32,0,0.995068133,0,0
2021/2/1 23:49,0,0,0,0.995691061
2021/2/2 5:50,0,0.344093502,0,0.64811492
2021/2/5 14:11,0,0.343707711,0,0.65425444
2021/2/9 5:46,0.23547585,0.636725962,0.12659393,0
2021/2/10 9:39,0,0.080035344,0.9156546,0
2021/2/12 12:46,0,0.995650232,0,0
2021/2/15 9:49,0.26922598,0.727600604,0,0
2021/2/17 12:51,0,0.994184941,0,0
2021/2/19 4:53,0,0.994885325,0,0
2021/2/19 17:45,0,0.991398394,0,0
2021/2/22 13:28,0,0.991673291,0,0
2021/2/23 2:41,0,0,0,0.995762587
2021/2/24 16:02,0,0,0,0.993192434
2021/2/24 19:10,0,0.207892492,0.4601894,0.317963094
2021/2/25 22:28,0,0.412061781,0,0.584638119
2021/2/26 0:13,0.22456378,0,0,0.770605922
2021/3/1 3:49,0,0.994604647,0,0
2021/3/2 8:21,0,0.622769356,0,0.369123995
2021/3/2 13:05,0,0,0.6994884,0.296199024
2021/3/2 16:24,0,0,0.9861866,0
2021/3/5 14:48,0,0.992275059,0,0
2021/3/9 19:46,0,0,0,0.991027892
2021/3/9 20:09,0,0.232404634,0.7637678,0
2021/3/12 7:03,0,0,0,0.977522314
2021/3/12 20:15,0,0,0.99766654,0
2021/3/15 5:24,0,0,0,0.987490356
2021/3/15 14:11,0.35683647,0.091527887,0.5475869,0
2021/3/21 13:07,0.45343527,0,0,0.542476058
2021/3/22 20:59,0,0.995017231,0,0
2021/3/23 10:59,0,0.995678365,0,0
2021/3/23 16:56,0,0,0.59411365,0.398869485
2021/3/24 5:56,0,0.993981123,0,0
2021/3/27 16:19,0,0.547145128,0,0.4490062
2021/3/30 17:47,0,0,0,0.995762527
2021/3/30 18:09,0,0,0,0.995019078
2021/4/1 8:28,0,0.766690135,0.23011746,0
2021/4/1 14:57,0,0.562223971,0.43348202,0
2021/4/4 16:40,0,0.402990669,0.15841863,0.4368819
2021/4/8 12:50,0,0,0,0.994395494
2021/4/9 19:48,0,0.825624466,0,0.171557397
2021/4/15 13:42,0.5887544,0,0,0.407845795
2021/4/19 12:21,0,0.743750444,0.22283001,0.031644151
2021/4/19 22:16,0.2990091,0,0.6915111,0
2021/4/21 18:37,0,0.729600132,0.26732406,0
2021/4/22 14:00,0,0,0,0.997023642
2021/4/23 18:13,0,0,0,0.992960691
2021/4/27 10:55,0,0.537657976,0,0.451228231
2021/4/27 17:38,0,0,0,0.992761254
2021/4/30 13:28,0,0.991195917,0,0
2021/4/30 14:35,0,0.99822408,0,0
2021/5/3 5:49,0,0.995167792,0,0
2021/5/3 9:07,0,0.995452046,0,0
2021/5/3 16:58,0,0.993599206,0,0
2021/5/4 9:39,0,0.994247317,0,0
2021/5/4 9:57,0,0.996239781,0,0
2021/5/4 11:11,0,0.662145361,0,0.335448056
2021/5/6 17:54,0.3072587,0.687131107,0,0
2021/5/7 21:50,0,0.996395707,0,0
2021/5/10 19:19,0,0.996167481,0,0
2021/5/12 7:08,0,0.423553586,0,0.568865359
2021/5/15 3:52,0,0.208028451,0.786719,0
2021/5/15 19:27,0,0.146278784,0,0.849016726
2021/5/17 17:44,0,0.997938931,0,0
2021/5/18 13:08,0,0.994428396,0,0
2021/5/19 9:14,0,0.931128681,0,0.06762892
2021/5/19 23:43,0,0.183130041,0,0.813980639
2021/5/20 14:49,0,0,0,0.996628404
2021/5/21 5:28,0,0.992402971,0,0
2021/5/21 6:12,0,0,0,0.99422514
2021/5/22 4:06,0,0.991105318,0,0
2021/5/24 2:39,0,0.355334997,0,0.632944107
2021/5/31 4:23,0,0.990090191,0,0
2021/6/1 8:42,0,0,0,0.996282935
2021/6/2 13:11,0,0,0,0.987410367
2021/6/4 20:26,0.9828622,0,0,0
2021/6/4 22:32,0,0.993489027,0,0
2021/6/13 11:51,0,0,0,0.987409651
2021/6/17 10:55,0,0,0,0.995461404
2021/6/22 13:55,0,0.991931379,0,0
2021/6/23 0:56,0,0.997596145,0,0
2021/6/24 1:29,0,0.994305313,0,0
2021/6/25 2:29,0,0,0,0.991836071
2021/6/25 12:58,0,0.991365731,0,0
2021/6/25 16:56,0.9918835,0,0,0
2021/6/28 10:54,0,0,0,0.994481206
2021/6/29 5:30,0.22834457,0.270887762,0.495458,0
2021/7/1 22:56,0.37315804,0,0.6205849,0
2021/7/3 16:13,0,0.994490266,0,0
2021/7/4 17:33,0,0,0.28242755,0.712296963
2021/7/4 18:35,0.9717998,0,0,0
2021/7/5 12:30,0.4299294,0.563402057,0,0
2021/7/6 6:14,0,0.218773574,0,0.770712435
2021/7/6 10:56,0,0.991917849,0,0
2021/7/6 12:56,0.99332947,0,0,0
2021/7/7 2:38,0,0.988718867,0,0
2021/7/7 6:24,0,0,0,0.99353147
2021/7/7 8:58,0,0.992013931,0,0
2021/7/7 9:43,0.6971547,0.28684637,0,0
2021/7/7 11:24,0,0,0,0.986758053
2021/7/7 16:27,0,0,0.99074155,0
2021/7/7 17:22,0,0.996432364,0,0
2021/7/8 8:49,0,0.470179856,0,0.521536887
2021/7/10 1:36,0.7070586,0,0,0.291276008
2021/7/12 11:30,0,0.997259319,0,0
2021/7/13 9:40,0,0.387573332,0,0.607473671
2021/7/15 8:33,0,0,0.99487364,0
2021/7/15 19:59,0.1653354,0.828825466,0,0
2021/7/16 5:14,0,0,0,0.989102364
2021/7/17 3:00,0,0.986891389,0,0
2021/7/19 9:59,0,0.555902123,0.43157205,0
2021/7/20 11:41,0,0,0,0.988002002
2021/7/21 5:36,0,0.48938629,0.5085532,0
2021/7/22 16:49,0,0,0,0.992549717
2021/7/23 8:51,0,0,0,0.995490193
2021/7/25 9:28,0,0.996049941,0,0
2021/7/27 16:28,0,0,0,0.990639389
2021/7/27 18:02,0.9961622,0,0,0
2021/7/28 9:30,0,0,0,0.992139041
2021/7/28 18:56,0,0.98164618,0,0
2021/7/31 5:42,0,0.991196036,0,0
2021/8/2 9:57,0,0.988927424,0,0
2021/8/3 0:02,0,0.996277869,0,0
2021/8/5 4:40,0.4095043,0.123839587,0,0.460219532
2021/8/9 23:49,0,0.993030727,0,0
2021/8/10 8:10,0,0.989142239,0,0
2021/8/11 4:32,0,0.991195858,0,0
2021/8/11 8:37,0,0.794116959,0.19710062,0
2021/8/13 7:53,0,0.995253354,0,0
2021/8/14 20:54,0.17005682,0,0,0.826171577
2021/8/17 13:41,0,0,0,0.986758292
2021/8/19 18:08,0,0.990727723,0,0
2021/8/19 18:36,0,0,0,0.99063915
2021/8/20 14:47,0,0.992479384,0,0
2021/8/21 16:38,0.99468255,0,0,0
2021/8/24 3:40,0.99642384,0,0,0
2021/8/24 5:47,0,0,0.9935691,0
2021/8/24 8:26,0,0.995425403,0,0
2021/8/24 16:27,0,0,0.9952584,0
2021/8/25 6:37,0,0.596464097,0.3992287,0
2021/8/25 8:21,0.38070804,0.193966895,0,0.419692248
2021/8/25 8:49,0,0.99600935,0,0
2021/8/27 13:19,0,0,0,0.994952202
2021/8/31 8:04,0,0,0,0.998755515
2021/9/1 20:20,0,0.997081012,0,0
2021/9/2 4:51,0,0,0,0.995963573
2021/9/2 8:35,0,0.995536447,0,0
2021/9/2 20:27,0,0.98884955,0,0
2021/9/3 5:39,0,0.137204304,0.14880016,0.710040092
2021/9/3 9:22,0,0,0.9974803,0
2021/9/6 10:09,0,0.384092569,0.6105208,0
2021/9/7 2:21,0,0.748336911,0.24865215,0
2021/9/7 13:58,0,0.199712634,0,0.793746293
2021/9/8 11:41,0,0.996148765,0,0
2021/9/8 21:22,0.99647194,0,0,0
2021/9/9 9:40,0,0.20269011,0.78896934,0
2021/9/15 7:02,0,0.910244316,0,0.086388782
2021/9/17 2:51,0,0,0.103235535,0.8914482
2021/9/17 7:26,0,0.542824864,0.27707973,0.174239814
2021/9/20 9:23,0,0.993148625,0,0
2021/9/22 12:55,0,0.27567485,0,0.717525244
2021/9/23 11:08,0,0.989816234,0,0
2021/9/24 8:30,0,0.744616389,0,0.245843321
2021/9/29 4:55,0,0.987679422,0,0
2021/9/29 11:21,0,0,0,0.995789587
2021/9/29 17:55,0.3976882,0,0.37753302,0.216951445
2021/10/1 13:19,0,0.502992511,0.4907943,0
2021/10/4 5:46,0.99632365,0,0,0
2021/10/4 8:26,0,0,0.5688049,0.425644249
2021/10/4 12:02,0,0,0,0.994709313
2021/10/5 18:32,0,0,0.74622715,0.249898642
2021/10/7 7:41,0,0.719223261,0,0.271702737
2021/10/8 8:34,0,0.165714487,0,0.828162432
2021/10/11 0:16,0,0.987018526,0,0
2021/10/14 6:46,0,0,0,0.991836011
2021/10/14 11:23,0.46138224,0.533391118,0,0
2021/10/14 16:32,0.18226102,0.310234874,0.22991817,0.272474468
2021/10/19 23:10,0,0,0,0.993370533
2021/10/20 12:09,0,0.994428426,0,0
2021/10/20 13:12,0,0,0,0.997618794
2021/10/20 18:35,0,0.990790069,0,0
2021/10/21 2:19,0,0.202982813,0,0.792610407
2021/10/22 16:01,0,0.993855655,0,0
2021/10/26 22:10,0,0,0.9903897,0
2021/10/27 4:58,0,0.540316045,0,0.452807605
2021/10/27 8:05,0,0,0.9844909,0
2021/10/27 16:00,0,0,0,0.9945194
2021/10/29 17:08,0,0.982845485,0,0
2021/11/1 8:42,0.99703133,0,0,0
2021/11/3 0:47,0,0,0,0.991027951
2021/11/4 15:22,0,0,0.996405,0
2021/11/5 6:01,0,0,0.99580884,0
2021/11/10 3:57,0,0.997313879,0,0
2021/11/10 18:55,0,0,0.18638931,0.80985045
2021/11/11 8:26,0,0,0.99106854,0
2021/11/12 15:11,0.99235684,0,0,0
2021/11/14 17:05,0,0.781298161,0,0.216051325
2021/11/15 8:50,0,0.994305789,0,0
2021/11/15 17:28,0,0,0.9928401,0
2021/11/17 2:38,0,0,0.5043273,0.487203479
2021/11/18 8:09,0,0,0.9950735,0
2021/11/19 23:09,0,0.995253861,0,0
2021/11/20 13:09,0,0.683377147,0,0.30916363
2021/11/22 12:58,0,0.641081765,0,0.353635162
2021/11/22 22:58,0.09219513,0,0.28006077,0.618294418
2021/11/23 16:01,0.9925735,0,0,0
2021/11/23 18:40,0,0.997321546,0,0
2021/11/26 7:10,0,0,0,0.997889757
2021/11/27 8:30,0,0.551023781,0,0.441586494
2021/11/29 20:21,0,0.638805032,0,0.356690437
2021/12/4 3:08,0,0.992893636,0,0
